lemma,pos,sense_source,sense_target,semantic_relationship
разместити,verb,"поставити на разна места, распоредити.",променити редослед или позиције нечега,exact
разместити,verb,"сместити се на разна места, распоредити се.",Поставити војску или оружје у борбену формацију.,related
разред,noun,ученици који прате такав програм (уопште или они који наставу слушају заједно).,Тело ученика које заједно подучавају.,exact
разред,noun,"уопште категорија у некој подели, разликовању напоредних, равноправних појмова, врста уопште.",Колекција ствари које деле исте атрибуте.,exact
разред,noun,"у зоолошкој и ботаничкој класификацији систематска категорија у оквиру кола, типа живих бића, која се даље дели на редове, класа:",Таксономска група која се састоји од једног или више редова.,exact
разумети,verb,"схватити, схватати смисао, значење",Знати и разумети природу или значење некога или нечега.,exact
разумети,verb,"моћи пратити, поимати нечији језик, говор:",Схватати неки језик.,exact
разумети,verb,"познавати што, разабирати се, бити вешт у чему",Знати и разумети природу или значење некога или нечега.,related
разумети,verb,"схватити, схватати један другог; ускладити или имати усклађене односе с неким.",Схватати неки језик.,broader
развити,verb,"ослободити везе, омота и сл., размотати завијено, одмотати, одвити:",Поравнати или раширити ваљком.,related
развити,verb,"покренути, ангажовати; постићи:",Припремати за будући задатак или каријеру.,related
развити,verb,распоредити за борбу:,Поставити војску или оружје у борбену формацију.,exact
реакција,noun,"деловање једних материја, твари на друге или деловање физичких утицаја (топлоте, електричне струје, светлости и сл.) при чему настају нове материје.",процес у коме једна или више супстанци делују једне на друге стварајући нову супстанцу,exact
реакција,noun,"деловање, активност неког живог организма или његова органа изазвана спољним или унутарњим органским утицајем на организам",Телесна реакција до које долази услед неког стимуланса или агенса.,exact
реакција,noun,психо-физиолошки одговор на неки спољни или унутрашњи надражај.,поступање против неког другог начина рада који се вама не свиђа,related
ребро,noun,"једна од дванаест пари танких и извијених костију, везаних на једној страни за кичму, а на другој, непосредно и посредно, за грудну кост, те с тим својим ослонцима чине грудни кош:","Дугачке, витке, закривљене кости које чине ребарни кош. Код већине животиња ребра окружују торакс притом штитећи плућа, срце и  органе прсног коша. Човек има 12 пари ребара (односно 24 ребра). Првих је седам хрскавично повезано са стернумом.",exact
ребро,noun,један од дебљих огранака продужене лисне дршке биљака:,ребролики део који подупире или ојачава животињу или биљку,narrower
ребро,noun,"оно што је налик на ребро (1) (део неке направе, машине, одсечени део меса и сл.).","део биљке или животиње који наликује на ребро (као главна жила код листа, или очврсла вена у крилу инсекта)",narrower
речник,noun,"књига у којој су речи једног језика изложене азбучним (абецедним) редом, с тумачењима њихових значења или с преводом на страни језик; додатак уз књигу где су азбучним (абецедним) редом побележене и протумачене стране или покрајинске речи и изрази:",приручник који садржи речи (у алфабетском поретку) са њиховим значењима,exact
речник,noun,"језичка изражајна средства, речи, лексика (једног писца, личности, средине и сл.):",усвојене речи неког говорника језика,exact
редак,adjective,који се јавља у већим временским размацима;,онај који није широко заступљен,related
редак,adjective,"кога или чега нема довољно, у коме или чему се оскудева.",онај чији се недостатак у погледу броја или количине у односу на потражњу осећа,exact
реквизит,noun,"део спортске опреме (дрес лопта, рекет итд.).",оруђе које се користи у спорту.,exact
репродукција,noun,"стварање потомства, множење, размножавање, расплођавање.",Процес стварања потомака.,exact
реса,noun,"дугуљаста, обично висећа цваст неких биљака (слична класу), маца","Дугуљаста, обично висећа цваст неких биљака.",exact
реса,noun,доњи део човечјег уха,део спољашњег ува,exact
решити,verb,"одредити исход нечега, пресудити, окончати.",Довести до краја.,exact
решити,verb,"дати правилан одговор, одгонетнути:",наћи решење за нешто (проблем или питање),exact
решити,verb,"рашчистити, расправити.",Средити или исправити; о тешкоћама или проблемима,related
решити,verb,"ослободити се, отарасити се:",Довести до краја.,exact
ревизија,noun,"преглед рада, контрола, проверавање стања у предузећима, установама, организацијама.",чин измене који укључује суштинске промене,narrower
ревизија,noun,"измена, преинака, преправка, преиспитивање (закона, неких погледа, учења и сл.).",чин прерађивања нечега,narrower
ревизија,noun,"обнова, поновно разматрање (о судском процесу).",нешто сто је написано поново,narrower
револуција,noun,"коренита, темељна промена, преврат у друштвено-економским односима, брзи преображај једне преживеле друштвено-економске формације у другу (обично напреднију) насилним путем:",Свргавање владе од стране поданика.,broader
револуција,noun,"коренит преображај, преокрет у некој области живота и рада (схватању, психи, култури итд.).",драматичне и далекосежне промене у начину размишлаxања и понашања,broader
резултирати,verb,"наста(ја)ти као резултат, последица нечега, произићи, произлазити, проистећи, проистицати.",Завршити на одређени начин или у одређеном стању.,related
резултирати,verb,"бити узрок нечему, условити, условљавати нешто, довести, доводити до нечега.",Учинити могућим.,related
риба,noun,животиња из разреда риба;,"Било која од разноврсних, углавном хладнокрвних водених кичмењака, који имају крљушти и дишу на шкрге.",exact
риба,noun,рибље месо; јело од рибе.,месо рибе које се користи у исхрани,exact
римски,adjective,који се односи на Рим и Римљане:,који се односи на древни Рим и његове људе,broader
римски,adjective,римокатолички:,који се тиче Рима и његових људи,related
родити,verb,"донети на свет (дете), породити се (о жени).",Донети на свет новорођенче.,exact
родити,verb,"изазвати појаву, настајање, постојање (нечега), створити, произвести, изградити.","створити уметничке предмете, као музику, слике, поезију, плес итд.",broader
рука,noun,"један од горњих удова човечјег тела, екстремитета од рамена до врхова прстију.",Човеков горњи уд који почиње од рамена.,exact
рука,noun,"крајњи део тога екстремитета, од зглоба или шаке до врхова прстију.",Екстремитет горњих удова.,narrower
рукопис,noun,начин писања слова руком с карактеристичним особинама,Активност писања руком.,related
рукопис,noun,"оно што је написано руком или писаћом машином, обично ради штампања, објављивања, текст писан руком или писаћом машином.",Материјал који треба да се штампа; искључиво графички материјал.,exact
сабрати,verb,"сабрати, покупити са земље плодове.",Прикупити заједно.,narrower
сабрати,verb,"скупити уједно додајући један износ другоме, збројити",Извршити операцију сабирања.,exact
сачувати,verb,"пазећи, мотрећи, старајући се очувати до извесног времена, до краја, обезбедити, осигурати",Сачувати или резервисати за личну или специјалну употребу.,related
садржај,noun,"суштина, бит, језгро нечега.",Оно о чему се неко саопштење ради.,related
садржај,noun,"оно што се излаже, описује где; главна мисао, кратак извод неког књижевног или научног дела:",Нешто (особа или предмет или призор) што уметник или фотограф изабере да графички представи.,related
сагласност,noun,"особина, стање онога што је сагласно с чим, склад, подударност.","Склад људских мишљења, поступака или карактера.",exact
сагласност,noun,"пристанак, одобрење.",Слагање са изјавом или предлогом да се нешто ради.,exact
салата,noun,"назив за више биљних подврста из пор. главочика које се, пресне и зачињене уљем, сирћетом и сољу, једу уз нека јела:",Нека од многих биљака из рода Лацтуца.,broader
салата,noun,"јело, кувано или пресно припремљено на сличан начин:",Мешана храна било сложена на тањиру или промешана и послужена са преливом; обично се састоји од зелениша или га садржи.,exact
састав,noun,"грађа, материја од које је нешто начињено или настало.",Конструисани објекат; комплексна конструкција или ентитет.,broader
састав,noun,"склоп, целина.",поредак делова у односу један према другом,narrower
састав,noun,"спој, додир двају предмета, место где се спајају два предмета.",Облик или начин на који се ствари приближавају и успоставља се веза.,related
састав,noun,"писмени рад, спис, чланак.",Стваралачко или креативно писање.,exact
саставити,verb,"сјединити, ставити једно уз друго, спојити нешто што је одељено",Стиснути једно уз друго.,exact
саставити,verb,начинити нешто од појединих делова.,направити састављањем из делова,exact
саставити,verb,начинити што написмено.,написати правни документ,broader
саставити,verb,састати се.,скупити заједно од постојећих ствари,related
савет,noun,"мишљење, препорука шта и како треба радити или како поступити у одређеном случају.",Упутство или савет по питању одлуке или тока радње,broader
савет,noun,скуп лица која о нечему већају,Тело које служи у административном својству.,related
савијача,noun,"пита од савијених листова теста, гужвара, гибаница.","танко, филовано тесто које је уролано и печено",exact
савити,verb,"учинити кривим, искривити, згрбити.",Обликовати кривину.,exact
савити,verb,"скврчити, згрчити.",Не изврћи колено кад радиш ову вежбу,related
савити,verb,"заокренувши поћи, скренути.",простирати се у кривинама и завојима,related
савити,verb,"спустити се, сићи.",простирати се у кривинама и завојима,related
сценариј,noun,књижевни текст с елементима драмске радње на основу кога се гради филм.,писана верзија позоришног комада или другог драмског састава; користи се за припрему за извођење,related
сценариј,noun,"план извођења позоришног комада, опис драмске радње.",нацрт или синопсис комада (или другог кxижевног дела),exact
сфера,noun,"простор који се налази у границама деловања или утицаја чега, круг деловања, област, подручје какве активности.",предмет проучавања,related
сфера,noun,"друштвена средина, круг особа везаних међу собом заједничким положајем, интересима, занимањем и сл.",Одређено окружење у животу.,exact
сигурност,noun,"стање, особина онога који је сигуран, онога што је сигурно, у коме некоме или нечему не прети опасност, одсутност опасности, безбедност:",Стање у коме је неко сигуран да неки узрок неће изазвати штетне ефекте под дефинисаним условима.,exact
сигурност,noun,поуздање.,"Стање у коме је неко сигуран, уверен у нешто.",exact
сијати,verb,"испуштати, одавати из себе светло, одашиљати зраке, светлети (о светлосним изворима и осветљеним телима).","Светлети сјајно, као звезда или светло.",exact
сијати,verb,"одликовати се каквом особином, врлином",Бити истакнут или уважен.,related
сила,noun,"узрок промене стања једне материје, оно што покреће материју из стања мировања у кретање или што мења величину и смер кретања материје",У физици дејство које производи промену у физичкој величини.,related
сила,noun,"војска, војне јединице (често с атрибутом: оружана).",јединица која је део неког рода војске,exact
сила,noun,телесна или физичка снага човека и животиње; способност за рад,Физичка снага.,exact
сила,noun,"енергија као покретач механичког кретања, снага:",Чин примене силе да нешто погони.,related
сила,noun,"снага, ауторитет, способност, моћ деловања на кога.","Неко ко поседује или примењује силу, утицај или ауторитет.",exact
систем,noun,"утврђен ред, поредак основан на планском распореду и међусобној повезаности делова неке целине",Група независних али међусобно повезаних елемената који чине јединствену целину.,exact
систем,noun,"скуп принципа, метода, начина у примени, остваривању чега.",Укупност метода или правила који управљају понашањем.,related
систем,noun,"скуп каквих елемената, јединица здружених према заједничким карактеристикама",Организована структура за уређивање и класификовање.,related
склонити,verb,"померити, макнути, одстранити","Уклонити нешто конкретно, нпр. дизањем, гурањем, уклањањем, или уклонити нешто апстрактно.",exact
склонити,verb,"сместити на сигурно, заклоњено место; ставити на одређено место (ради бољег чувања), спремити.",Обезбедити склониште.,exact
склонити,verb,"померити се, помаћи се с каквог места.","Уклонити нешто конкретно, нпр. дизањем, гурањем, уклањањем, или уклонити нешто апстрактно.",related
склонити,verb,"отићи на какво сигурно место, уклонити се.",Обезбедити склониште.,exact
склоност,noun,"расположење, воља, спремност за нешто.","Ментални став, посебно такав који даје предност једној алтернативи над другом.",related
склоност,noun,"наклоност према некоме, симпатија, љубав.",Осећај задовољства или ужитка.,related
скок,noun,"брзо премештање тела кроз ваздух с једног места на друго уз одбијање, одбацивање ногама с места на коме се стоји:",Чин скакања; одвајање тела од земље.,exact
скок,noun,прелаз из једног стања у друго без постепених развојних фаза.,Нагли прелазак.,related
скуп,noun,више или мање особа на истом месту.,Група људи заједно на једном месту.,exact
скуп,noun,један од основних појмова на којем се оснива у последње време математика:,апстрактан збир бројева и симбола,related
скупити,verb,"сабрати на једно место, сазвати; стерати.",Прикупити заједно.,exact
скупити,verb,"стиснути, стегнути (уста, обрве, рамена).",Стиснути једно уз друго.,exact
скупити,verb,сабрати се на једном месту,Прикупити заједно.,exact
слаб,adjective,"који је мале физичке снаге, који није јаког, чврстог телесног састава; болешљив, слабуњав (о човеку и животињи); који је изнемогао, онемоћао од болести, исцрпености.",који има мало физичке снаге или здравља,exact
слаб,adjective,"мален по интензитету, по снази испољавања, који није довољно јасан, изражајан.","Који није влик по количини, броју или степену.",exact
славити,verb,"хваљењем уздизати коме или чему вредност, стварати славу, прослављати.",славити врлине своје деце,broader
славити,verb,"одржавати част, весеље приликом какве свечаности или каквог важног догађаја.",Имати прославу.,exact
славити,verb,"бити чувен, на гласу, познат по чему.",причати о чему са задовољством,related
слика,noun,"производ сликарства, уметнички израђен у бојама на платну, хартији, дрвету, стаклу и сл.: ~ масним бојама на платну, ~ сувим бојама.<B>",Графичка уметност која се састоји од уметничке композиције добијене наношењем боје на неку површину.,exact
слика,noun,фотографија или филмски снимак.,"Визуелна репрезентација објекта, сцене, особе или апстракције, произведена на некој површини.",related
слика,noun,опис чега у књижевном делу или усменом причању,Графички или жив вербални опис.,narrower
слика,noun,представа.,ситуација која се третира као осмотрив предмет,related
сликати,verb,"стварати сликарско дело, правити слике у боји или цртежом",Правити слику.,exact
сликати,verb,"снимати фотографским апаратом, фотографисати.",Снимати на фотографском филму.,exact
сликати,verb,фотографисати се.,Правити слику.,exact
сликати,verb,"показивати се, појављивати се, причињавати се у машти.",Снимати на фотографском филму.,broader
сликовит,adjective,"који се представља сликом, исказује помоћу слика.",који се односи на слике или се састоји од слика,exact
сликовит,adjective,"који је пун слика, живописан, изразит, пластичан (о језику, стилу).",(употребљено у значењу речи или текста) који није дослван; који користи метафоре,exact
слобода,noun,"могућност испољавања своје воље у границама природних и друштвених закона, стање у коме човек није ограничен у одлучивању о себи, о својој судбини",имунитет од произвољне демонстрације власти: политичка независност,broader
слобода,noun,"лична независност, самосталност, која није ограничена никаквим обавезама, могућност поступања по својој вољи",Стање слободе; моћ деловања или говора или мишљења без ограда. наметнутих споља,exact
слог,noun,реч или део речи од једног самогласника самог или с једним или више сугласника који се осећа као изговорна целина.,јединица говорног језика већа од фонеме,exact
слог,noun,сложена слова за штампање неког текста; отисак слова (у штампарији).,мали метални блок који носи испупчено слово на једном крају; даје штампано слово када се замасти и притисне на папир,exact
слово,noun,"писмени знак у писму, азбуци, који обично одговара одређеном гласу:",Уобичајени карактер алфабета који се користи за представљање говора.,exact
слово,noun,"типографски знак одређеног облика и величине, који се употребљава у штампању каквог текста.",мали метални блок који носи испупчено слово на једном крају; даје штампано слово када се замасти и притисне на папир,broader
сложити,verb,"положити, ставити на једно место више предмета у одређеном реду, на одређен начин.",Сложити у амбалажу.,broader
сложити,verb,"припремити слог, поређати слова за штампање према рукопису.",обликовати штампани материјал у тражени формат,exact
сложити,verb,"саставити, смислити, створити.",ређање речи текста тако да буду у складу,broader
сложити,verb,"довести у склад, сагласност, подударност, ускладити.",Учинити да се слаже или сагласи.,exact
сложити,verb,"скупити се, саставити се, здружити се стварајући какав ред, облик, целину.",Сложити у амбалажу.,exact
сложити,verb,"спустити се, покрити (какву површину)",обликовати штампани материјал у тражени формат,exact
случај,noun,"стање, ситуација, околности, прилике у којима се што догађа.",посебан сплет околности,exact
слушати,verb,"примати слухом што, пратити слухом нечији говор, излагање.",ослушкивати са намером,broader
слушати,verb,"придржавати се чијих савета, наредаба, заповести, покоравати се, потчињавати се коме.",Бити послушан некоме.,exact
служба,noun,"рад за плату (обично у непроизводним делатностима), вршење јавне дужности.",Посао у некој организацији.,exact
служба,noun,"нарочита грана, област, врста рада, занимања:",Временски период проведен у војној служби.,related
служба,noun,"богослужење, црквени, верски обред.",Чин јавног вероисповедања.,related
служити,verb,"бити слуга, радити код некога кућне и друге послове за плату, радити, вршити разне послове испуњавајући чију вољу, наредбу, заповест, дворити.",Радити за некога или бити некоме слуга.,exact
служити,verb,"доносити јело и пиће (у угоститељској радњи и сл.), послуживати.",Обезбедити (обично храну али може и нешто друго).,exact
служити,verb,"бринути се на корист, напредак чега, радити у чију корист.","Бити у служби, бити слуга, као слуга народа, институције или идеја.",related
служити,verb,"вршити, обављати оно чему је што намењено, за што је одређено (о органима тела, о оруђима и сл.).","Служити сврси, улози или функцији.",related
служити,verb,"бити од користи, користити, бити добар за нешто.",бити од користи,exact
служити,verb,вршити неки црквени обред.,вршити у службеном својству неку религиозну церемонију,exact
служити,verb,"узимати (за столом) јело, пиће.",Обезбедити (обично храну али може и нешто друго).,exact
смеса,noun,"мешавина обично добивена заједничким топљењем двају или више метала, легура.",свака материја која се може јести а добијена је машавином разних састојака,narrower
смешати,verb,"мешајући саставити уједно, спојити нешто разноврсно (гасовито, течно житко, сипко) или састављено од више делова.",Смешати у једну целину.,exact
смешати,verb,"спојити, здружити нешто што је разноврсно, створити јединствену масу од разноврсних делова.",Комбиновати у једно.,exact
смешати,verb,"спојити се, здружити се (о нечему разноврсном).",Смешати у једну целину.,exact
смешати,verb,помешати се једно с другим (о разним јединкама).,Комбиновати у једно.,exact
сместити,verb,"поставити што на какво место, наћи место чему.",Поставити у неки положај.,related
сместити,verb,"дати, наћи коме просторију за преноћиште или лежај у болници.",Обезбедити смештај за некога.,exact
сместити,verb,ући у што.,Обезбедити смештај за некога.,related
сметња,noun,"оно што смета, што стоји на путу да се нешто оствари, препрека, запрека; тешкоћа",Нешто што спречава или је оптерећујуће.,exact
сметња,noun,оно што смета нормалном раду (нпр. шумови на радију и сл.).,Електрична или акустична активност која може да омете комуникацију.,broader
смирити,verb,"учинити да престане сукоб, свађа, успоставити мир међу завађенима; угушити немир, умирити, средити свађу, кавгу.",наћи заједнички језик,exact
смирити,verb,"смањити степен интензитета нечега, утишати, ублажити (о болу, о каквом осећању).",Утицати да се неко осећа боље.,broader
смирити,verb,"постати миран, престати показивати узбуђење, узнемиреност (о лицу).",наћи заједнички језик,related
смислити,verb,"схватити, домислити се, доћи на мисао",Начинити планове за нешто.,related
смислити,verb,"измислити оно што не постоји, мишљењем створити.",Замислити неку идеју.,exact
смислити,verb,помислити (на нешто).,Начинити планове за нешто.,related
смоква,noun,"биљна врста и њен плод, који се употребљава као храна у свежем и осушеном стању.",Неко дрво из тропског рода Фицус.производи затворени плод у облику крушке који који постаје меснат и јестив када сазри.,exact
смутити,verb,"изазвати смутњу, неред, узбунити; пореметити, нарушити.",изазивати збуњеност и немогућност да се рационално размишља,exact
смутити,verb,"изазвати узбуђеност, узрујаност, пометеност, збрку, довести у стање збуњености, пометености.",узроковати да се неко збуни или емоционално помете,exact
смутити,verb,"доћи у стање збрке, пометености.",изазивати збуњеност и немогућност да се рационално размишља,exact
снага,noun,"способност физичког и друштвеног рада, јачина, моћ, сила;",Својство некога ко је физички или ментално јак.,exact
снага,noun,"војне јединице, оружани одреди, војна сила, војска.",јединица која је део неког рода војске,exact
снимити,verb,"начинити снимак, фотографисати, сликати.",Снимати на фотографском филму.,exact
снимити,verb,направити филм.,Направити филм или фотографију нечега.,exact
снизити,verb,спустити се,Смањити тон музичке ноте.,exact
снизити,verb,смањити се.,Довести нешто или некога у нижи положај.,exact
сочиво,noun,махунаста биљка из пор. лепирњача с храњивим семењем,Евроазијска биљка која се гаји због јестивог пљоснатог семена које се кува као грашак.,exact
сочиво,noun,плодови махунастих јестивих биљака.,Евроазијска биљка која се гаји због јестивог пљоснатог семена које се кува као грашак.,broader
сочиво,noun,врста конвексног или конкавног стакла које сабира или расипа зраке светла.,прозрачни оптички уређај који се користи да сакупља или расејава светло и формира слике,narrower
сочиво,noun,део ока кроз који се светлост прелама пре него што падне на мрежњачу,Биконвексно прозирно тело смештено иза дужице у оку.,exact
спадати,verb,убрајати се.,Бити класификован са нечим другим.,exact
спадати,verb,"бити у складу с чим, одговарати, доликовати",Бити на правом месту или ситуацији.,related
спавати,verb,бити у стању сна.,Налазити се у стању сна.,exact
спавати,verb,имати сексуалне односе (с киме).,Имати сексуални однос са неким.,exact
спекулирати,verb,"размишљати, разматрати, теоретисати.<B>","Веровати у нешто, посебно на несигурним основама.",related
спекулирати,verb,"бавити се спекулацијом (2), шпекулирати.",Причати на беспослен или необавезан начин са елементом сумње или без довољно разлога да се дође до закључка.,exact
спис,noun,"написан (службени) акт, документ","(право) правни акт који издаје суд, судски службеник",broader
спој,noun,"две или више разних ствари или појмова састављених у једну целину, оно што је састављено у једну целину",(Хемија) Супстанција која се добија хемијским спајањем два или више елемената или састојака у прописаном односу према тежини.,broader
спој,noun,"место где се две ствари спајају, сједињују.",Облик или начин на који се ствари приближавају и успоставља се веза.,related
спој,noun,"материја која се добија хемијским спајањем двају или више различитих елемената, једињење.",Једињење описано у категоријама центарлног атома за који су други атоми везани или усклађени.,exact
спољашњи,adjective,"који је споља, спољни, вањски",који се дешава или је смештено изван неких граница или изван неке површи,exact
спољашњи,adjective,спољни (2).,који има поркело или се развија споља,related
спремиште,noun,"нарочито уређено место за чување робе (оружја, машина, књига и сл.), складиште, стовариште, магазин",место где ствари могу да се оставе на чување,exact
спремиште,noun,"место где се уопште нешто прикупља, сабира, задржава",електронски меморијски уређај,related
спровести,verb,"учинити да неко приспе до одређеног места (обично показујући му пут, правећи му друштво, пратећи га), отпратити.",Послати од једне особе или места на друго.,exact
спровести,verb,"отпремити (некога, нешто) уз оружану пратњу.",Послати од једне особе или места на друго.,narrower
срамота,noun,"стање, положај који изазива презир, понижење; увреда.",стање обешчашћења,broader
срамота,noun,"дубоко, јако осећање срама",болан осећај који произлази из свести о недовољности или кривици,exact
срамота,noun,"нечастан, срамотан чин.",Сраман догађај.,exact
срце,noun,централни мишићасти орган који регулише крвоток у телу човека (и већине животиња) и који се налази на левој страни грудне дупље,шупљи мишични орган смештен између стернума и плућа; његове ритмичке контракције покрећу крвоток,exact
срце,noun,"духовно и емотивно расположење; љубавно осећање, љубав",Наклоност или тежња одређене врсте.,related
срце,noun,"средишно место (државе, покрајине, области), средиште, центар.",Зона која је приближно централна унутар неког већег подручја.,exact
срце,noun,"оно што је најбитније, најважније, срж, суштина.",Најпробранији или најсадржајнији или најважнији део неке идеје или искуства.,exact
средина,noun,"тачка подједнако удаљена од крајева; место (више или мање) удаљено од крајева чега, средиште, центар",тачка једнако удаљена од крајева линије или завршетака лика,exact
средина,noun,социјално-животне околности и услови у којима протиче живот човека.,Стање окружења у коме се одвија ситуација.,narrower
средиште,noun,"средишњи део, средина чега.",Зона која је приближно централна унутар неког већег подручја.,related
средиште,noun,"место у којему је усредсређена каква активност, руководство, власт; онај који је носилац активности, који је најглавнији, око кога се све окупља.",Концентрација пажње или енергије на нешто.,related
средиште,noun,тачка од које су све тачке круга или сфере кугле једнако удаљене.,тачка једнако удаљена од крајева линије или завршетака лика,exact
средити,verb,"сложити по неком реду (по годинама, величини и сл.)",Довести у исправан или систематичан поредак.,broader
средити,verb,доћи у ред; довести у ред (мисли).,Поправити заменом дела или састављањем одвојеног или сломљеног.,related
средити,verb,"доћи к себи, смирити се, умирити се.",Довести у исправан или систематичан поредак.,related
средство,noun,"начин, поступак у раду који се употребљава и примењује да се нешто постигне.",Како се добија неки резултат или постиже неки циљ.,exact
средство,noun,"оруђе (инструменат, предмет, разне направе, справе и сл.) неопходно потребно да се нешто оствари.",Инструменат који се користи да би се постигао неки циљ.,exact
средство,noun,"лекови, медицински препарати и уопште предмети потребни за лечење.",Супстанца која изазива неки ефекат или врши неки утицај.,narrower
стајати,verb,"чувати се у неизмењеном стању, остајати на своме месту.",Не кварити се нити трулити.,exact
стајати,verb,"бити у усправном, непомичном положају, бити на ногама (о човеку, животињи).",Бити у усправном положају.,exact
стајати,verb,"пристајати, приличити, одговарати спољашности (лицу, стасу), доликовати.",Бити праве величине или облика; пристајати исправно или у складу са жељама.,exact
стакло,noun,"хомогена, хемијски постојана материја, потпуно или у некој мери прозиран, тврд, крт производ, начињен расхлађивањем растопине кварцног песка и неких додатака, који се употребљава за израду прозора, посуђа и многих других предмета:",Ломљиво прозирно тело са неправилном атомском структуром.,related
стакло,noun,"стаклен суд, боца","Стаклена или пластична посуда, цилиндричног облика са уским вратом и без дршке.",narrower
стан,noun,једна или више соба с нуспросторијама за становање.,скуп просторија обично на једном спрату стамбене куће,exact
стан,noun,"(стално) боравиште, опстанак",Чин становања на једном месту.,related
стање,noun,"опште прилике, околности, положај у којем се неко или нешто налази.",Начин на који нешто постоји у односу на своје главне атрибуте.,related
стање,noun,"облик, појава у којима се ко или што налази, јавља.",Стање у неком одређеном тренутку.,related
становати,verb,бити у стану код некога или у истој кући с неким.,Бити станар; привремено боравити.,exact
становати,verb,"имати стан, живети, налазити се у неком месту, крају, земљи.",Начинити од места свој дом.,related
став,noun,положај тела.,Позиција или устројство тела и његових удова.,exact
став,noun,"изглед, држање својствено каквом расположењу.","Сложено психичко стање које укључује веровања, осећања, вредности и склоности да се поступа на одређени начин.",exact
став,noun,"одељак неког текста (који се обично почиње новим редом), пасус, ставак, ставка.",један од неколико посебних одељака текста намењен да издвоји идеје; почеци су често обележени новим увученим ретком,related
став,noun,одељак музичког комада.,"заокружени одељак музичког комада, симфоније или сонате",exact
ставити,verb,"унети у склоп, садржај нечега; додати, унети писмено, написати:",Ставити или убацити у нешто.,narrower
ставити,verb,довести у нарочито стање:,Ставити улог.,related
стегнути,verb,"обухвативши, ухвативши нешто притиснути, стиснути.",Држати чврсто,exact
стегнути,verb,чврсто притиснути уз тело.,Доћи или бити у блиском контакту.,related
степен,noun,"јединица мере температуре (ваздуха, воде, тела).",Температурна јединица на спецификованој скали.,exact
степен,noun,"стање, стадиј(ум), фаза.","Специфична позиција која се може идентификовати у континууму, низу и посебно процесу.",related
степен,noun,"звање, ранг",Позиција у друђтвеној хијерархији.,exact
степен,noun,"стање, ниво.","Озбиљност нечега (нпр, злочин или опекотина).",exact
стил,noun,карактеристичан начин писменог и усменог изражавања,Стил којим се изражавате писмено.,broader
стил,noun,"скуп карактеристичних црта, обележја материјалне културе (у ликовној уметности, архитектури, у намештају, одевању и др.) једне епохе или једне нације",Одређена врста изгледа.,related
стил,noun,"карактеристична црта, обележје, облик рада, живота, игре, спорта итд.",начин рада или понашања,related
стиснути,verb,чврсто стегнути држећи у руци,Држати чврсто,exact
стиснути,verb,приљубивши једно уз друго притиснути.,Стиснути једно уз друго.,exact
стиснути,verb,"снажно, чврсто дохватити руком, зграбити, шчепати.",Чврсто стиснути међу прстима.,broader
стопа,noun,ноге у ужем смислу,отисак стопала или ципеле на површини,related
стопа,noun,"отисак ноге, стопала на каквој површини, траг.",отисак стопала или ципеле на површини,exact
страна,noun,"појединац или колектив који се бори за нешто (пред судом, у рату, у утакмици",Особа која је укључена у неки законски поступак.,exact
страна,noun,гранична линија неке површине или гранична површина нечега (рачунајући од средине).,Спољња површина неког објекта.,exact
страна,noun,једна од бочних површина,Површина која представља део спољашњости неког објекта.,exact
страна,noun,простор који се простире у неком правцу и сам такав правац.,место унутар зоне које се идентификује као релативно у односу на центар,related
страна,noun,"оно што чини карактеристику, битну особеност нечега, особина, својство, каквоћа, квалитет",Одређена карактеристика или елемент у проблему.,exact
странка,noun,"политичка организација с одређеним програмом о економским и друштвеним односима, партија (1а):",Организација чији је циљ прибављање политичке моћи.,exact
странка,noun,"појединац или колектив који се бори за нешто (пред судом, у рату, у утакмици), страна (10).",Особа која је укључена у неки законски поступак.,exact
струја,noun,"ток, кретање водене масе површинских (више или мање дубоких) слојева мора, океана у одређеном правцу:","стабилни ток, природно проузрокован",narrower
струја,noun,"ток, кретање електричне енергије у проводнику:",енергија коју ослобађа проток електричног набоја кроз проводник,exact
стрвинар,noun,"птица грабљивица, јаког, повијеног горњег дела кљуна, снажних и оштрих канџи, која се храни стрвином, суп беличасти",Мали најчешће бели лешинар Африке и јужне Европе.,broader
стрвинар,noun,стрвождерци.,Нека од разноврсних дневних птица грабљивица која има голу главу и слабе канђе а храни се углавном цркотинама.,broader
стуб,noun,"у грађевинарству дрвени, метални, камени или зидани окомити подупирач најчешће ваљкастог облика који преноси терет надграђен на чврсту подлогу.","У архитектури, високи ваљкасти објекат, вертикално постављен који подупире неку структуру.",exact
стуб,noun,"дугачка греда која, учвршћена у чему, стоји окомито, бандера (за електричне, телефонске водове, за вешање заставе и сл.), дирек.",Дрвени или метални потпорањ који је чврсто постављен у усправни положај.,exact
ствар,noun,"сваки предмет, производ било чега, било шта неживо што материјално или физички постоји.",Нека људска творевина.,broader
ствар,noun,"све што се ради или чини, све што се замишља или осећа (рад, поступак, дело, догађај, вест итд.).",Нека акција.,broader
ствар,noun,"стање, ситуација, околности, прилике, услови карактеристични за оно што се дешава.",Специјална ситуација.,exact
стваран,adjective,"који постоји, који је постојао у истини, истински, збиљски.","који постоји у стварности, узет из живота",exact
створити,verb,"учинити радом да нешто постане чега пре није било, израдити, произвести.",Учинити или изазвати да нешто постане.,exact
